TYPE:,REG,
DATE:,2026-03-25
REVISION:,1
REASON:,NA,
BLOCK,Block Interval,GLOBUS STEEL N POWER
,,,Availability,Forecast
1,00:00,00:15,20.00,0.00
2,00:15,00:30,20.00,0.00
3,00:30,00:45,20.00,0.00
4,00:45,01:00,20.00,0.00
5,01:00,01:15,20.00,0.00
6,01:15,01:30,20.00,0.00
7,01:30,01:45,20.00,0.00
8,01:45,02:00,20.00,0.00
9,02:00,02:15,20.00,0.00
10,02:15,02:30,20.00,0.00
11,02:30,02:45,20.00,0.00
12,02:45,03:00,20.00,0.00
13,03:00,03:15,20.00,0.00
14,03:15,03:30,20.00,0.00
15,03:30,03:45,20.00,0.00
16,03:45,04:00,20.00,0.00
17,04:00,04:15,20.00,0.00
18,04:15,04:30,20.00,0.00
19,04:30,04:45,20.00,0.00
20,04:45,05:00,20.00,0.00
21,05:00,05:15,20.00,0.00
22,05:15,05:30,20.00,0.00
23,05:30,05:45,20.00,0.00
24,05:45,06:00,20.00,0.00
25,06:00,06:15,20.00,0.00
26,06:15,06:30,20.00,0.00
27,06:30,06:45,20.00,0.04
28,06:45,07:00,20.00,0.38
29,07:00,07:15,20.00,0.85
30,07:15,07:30,20.00,1.58
31,07:30,07:45,20.00,2.45
32,07:45,08:00,20.00,3.43
33,08:00,08:15,20.00,4.47
34,08:15,08:30,20.00,5.54
35,08:30,08:45,20.00,6.59
36,08:45,09:00,20.00,7.64
37,09:00,09:15,20.00,8.66
38,09:15,09:30,20.00,9.62
39,09:30,09:45,20.00,10.51
40,09:45,10:00,20.00,11.36
41,10:00,10:15,20.00,12.11
42,10:15,10:30,20.00,12.74
43,10:30,10:45,20.00,13.30
44,10:45,11:00,20.00,13.78
45,11:00,11:15,20.00,14.19
46,11:15,11:30,20.00,14.54
47,11:30,11:45,20.00,14.81
48,11:45,12:00,20.00,15.05
49,12:00,12:15,20.00,15.24
50,12:15,12:30,20.00,15.34
51,12:30,12:45,20.00,15.24
52,12:45,13:00,20.00,15.10
53,13:00,13:15,20.00,14.81
54,13:15,13:30,20.00,14.37
55,13:30,13:45,20.00,13.99
56,13:45,14:00,20.00,13.48
57,14:00,14:15,20.00,12.91
58,14:15,14:30,20.00,12.30
59,14:30,14:45,20.00,11.92
60,14:45,15:00,20.00,11.51
61,15:00,15:15,20.00,11.04
62,15:15,15:30,20.00,10.48
63,15:30,15:45,20.00,9.41
64,15:45,16:00,20.00,8.33
65,16:00,16:15,20.00,7.24
66,16:15,16:30,20.00,6.14
67,16:30,16:45,20.00,5.45
68,16:45,17:00,20.00,4.78
69,17:00,17:15,20.00,4.07
70,17:15,17:30,20.00,3.31
71,17:30,17:45,20.00,2.47
72,17:45,18:00,20.00,1.65
73,18:00,18:15,20.00,0.93
74,18:15,18:30,20.00,0.32
75,18:30,18:45,20.00,0.00
76,18:45,19:00,20.00,0.00
77,19:00,19:15,20.00,0.00
78,19:15,19:30,20.00,0.00
79,19:30,19:45,20.00,0.00
80,19:45,20:00,20.00,0.00
81,20:00,20:15,20.00,0.00
82,20:15,20:30,20.00,0.00
83,20:30,20:45,20.00,0.00
84,20:45,21:00,20.00,0.00
85,21:00,21:15,20.00,0.00
86,21:15,21:30,20.00,0.00
87,21:30,21:45,20.00,0.00
88,21:45,22:00,20.00,0.00
89,22:00,22:15,20.00,0.00
90,22:15,22:30,20.00,0.00
91,22:30,22:45,20.00,0.00
92,22:45,23:00,20.00,0.00
93,23:00,23:15,20.00,0.00
94,23:15,23:30,20.00,0.00
95,23:30,23:45,20.00,0.00
96,23:45,00:00,20.00,0.00
