FOR DATE:,20260325
REV. NO.,r16
TIME:,202603252215
Delivery Type:,Intraday
BLK NO.,FROM TIME,TO TIME,Kilaj,Available Capacity
1,00:00,00:15,0.00,20.00
2,00:15,00:30,0.00,20.00
3,00:30,00:45,0.00,20.00
4,00:45,01:00,0.00,20.00
5,01:00,01:15,0.00,20.00
6,01:15,01:30,0.00,20.00
7,01:30,01:45,0.00,20.00
8,01:45,02:00,0.00,20.00
9,02:00,02:15,0.00,20.00
10,02:15,02:30,0.00,20.00
11,02:30,02:45,0.00,20.00
12,02:45,03:00,0.00,20.00
13,03:00,03:15,0.00,20.00
14,03:15,03:30,0.00,20.00
15,03:30,03:45,0.00,20.00
16,03:45,04:00,0.00,20.00
17,04:00,04:15,0.00,20.00
18,04:15,04:30,0.00,20.00
19,04:30,04:45,0.00,20.00
20,04:45,05:00,0.00,20.00
21,05:00,05:15,0.00,20.00
22,05:15,05:30,0.00,20.00
23,05:30,05:45,0.00,20.00
24,05:45,06:00,0.00,20.00
25,06:00,06:15,0.00,20.00
26,06:15,06:30,0.00,20.00
27,06:30,06:45,0.11,20.00
28,06:45,07:00,0.96,20.00
29,07:00,07:15,2.05,20.00
30,07:15,07:30,3.29,20.00
31,07:30,07:45,4.52,20.00
32,07:45,08:00,5.82,20.00
33,08:00,08:15,7.17,20.00
34,08:15,08:30,8.52,20.00
35,08:30,08:45,9.81,20.00
36,08:45,09:00,11.09,20.00
37,09:00,09:15,12.34,20.00
38,09:15,09:30,13.56,20.00
39,09:30,09:45,14.70,20.00
40,09:45,10:00,15.76,20.00
41,10:00,10:15,16.68,20.00
42,10:15,10:30,17.44,20.00
43,10:30,10:45,18.03,20.00
44,10:45,11:00,18.55,20.00
45,11:00,11:15,19.02,20.00
46,11:15,11:30,19.39,20.00
47,11:30,11:45,19.22,20.00
48,11:45,12:00,19.26,20.00
49,12:00,12:15,19.21,20.00
50,12:15,12:30,19.08,20.00
51,12:30,12:45,18.91,20.00
52,12:45,13:00,18.61,20.00
53,13:00,13:15,18.09,20.00
54,13:15,13:30,17.45,20.00
55,13:30,13:45,17.07,20.00
56,13:45,14:00,16.69,20.00
57,14:00,14:15,16.17,20.00
58,14:15,14:30,15.54,20.00
59,14:30,14:45,14.61,20.00
60,14:45,15:00,13.63,20.00
61,15:00,15:15,12.61,20.00
62,15:15,15:30,11.56,20.00
63,15:30,15:45,10.79,20.00
64,15:45,16:00,9.97,20.00
65,16:00,16:15,9.02,20.00
66,16:15,16:30,8.12,20.00
67,16:30,16:45,6.78,20.00
68,16:45,17:00,5.47,20.00
69,17:00,17:15,4.28,20.00
70,17:15,17:30,3.20,20.00
71,17:30,17:45,2.45,20.00
72,17:45,18:00,1.70,20.00
73,18:00,18:15,0.97,20.00
74,18:15,18:30,0.25,20.00
75,18:30,18:45,0.00,20.00
76,18:45,19:00,0.00,20.00
77,19:00,19:15,0.00,20.00
78,19:15,19:30,0.00,20.00
79,19:30,19:45,0.00,20.00
80,19:45,20:00,0.00,20.00
81,20:00,20:15,0.00,20.00
82,20:15,20:30,0.00,20.00
83,20:30,20:45,0.00,20.00
84,20:45,21:00,0.00,20.00
85,21:00,21:15,0.00,20.00
86,21:15,21:30,0.00,20.00
87,21:30,21:45,0.00,20.00
88,21:45,22:00,0.00,20.00
89,22:00,22:15,0.00,20.00
90,22:15,22:30,0.00,20.00
91,22:30,22:45,0.00,20.00
92,22:45,23:00,0.00,20.00
93,23:00,23:15,0.00,20.00
94,23:15,23:30,0.00,20.00
95,23:30,23:45,0.00,20.00
96,23:45,00:00,0.00,20.00
