Name of Generator,Singareni
Plant name,Singareni Collieries Company Limited-Kasipet Mines
Capacity(MW),15.0
Date,15-03-2026
Type,intraday
""
""
Contract Type,,,,,Lta
Approval No,,,,,TSTRANSCO/20/2023-24
To Utility,,,,,"SCCL(BPL-003, BPL-004, BPL-065)"
Path,,,,,
Block,Time Period,Forecast(MW),AvC(MW),Station Schedule,15.0
1,00:00-00:15,0.0,15.0,0.0,0.0
2,00:15-00:30,0.0,15.0,0.0,0.0
3,00:30-00:45,0.0,15.0,0.0,0.0
4,00:45-01:00,0.0,15.0,0.0,0.0
5,01:00-01:15,0.0,15.0,0.0,0.0
6,01:15-01:30,0.0,15.0,0.0,0.0
7,01:30-01:45,0.0,15.0,0.0,0.0
8,01:45-02:00,0.0,15.0,0.0,0.0
9,02:00-02:15,0.0,15.0,0.0,0.0
10,02:15-02:30,0.0,15.0,0.0,0.0
11,02:30-02:45,0.0,15.0,0.0,0.0
12,02:45-03:00,0.0,15.0,0.0,0.0
13,03:00-03:15,0.0,15.0,0.0,0.0
14,03:15-03:30,0.0,15.0,0.0,0.0
15,03:30-03:45,0.0,15.0,0.0,0.0
16,03:45-04:00,0.0,15.0,0.0,0.0
17,04:00-04:15,0.0,15.0,0.0,0.0
18,04:15-04:30,0.0,15.0,0.0,0.0
19,04:30-04:45,0.0,15.0,0.0,0.0
20,04:45-05:00,0.0,15.0,0.0,0.0
21,05:00-05:15,0.0,15.0,0.0,0.0
22,05:15-05:30,0.0,15.0,0.0,0.0
23,05:30-05:45,0.0,15.0,0.0,0.0
24,05:45-06:00,0.0,15.0,0.0,0.0
25,06:00-06:15,0.0,15.0,0.0,0.0
26,06:15-06:30,0.0,15.0,0.0,0.0
27,06:30-06:45,0.0,15.0,0.0,0.0
28,06:45-07:00,0.0,15.0,0.0,0.0
29,07:00-07:15,0.0,15.0,0.0,0.0
30,07:15-07:30,1.397,15.0,0.0,0.0
31,07:30-07:45,1.908,15.0,0.0,0.0
32,07:45-08:00,3.215,15.0,0.0,0.0
33,08:00-08:15,3.913,15.0,0.0,0.0
34,08:15-08:30,4.301,15.0,0.0,0.0
35,08:30-08:45,5.043,15.0,0.0,0.0
36,08:45-09:00,5.794,15.0,0.0,0.0
37,09:00-09:15,6.526,15.0,0.0,0.0
38,09:15-09:30,6.412,15.0,0.0,0.0
39,09:30-09:45,6.772,15.0,0.0,0.0
40,09:45-10:00,7.262,15.0,0.0,0.0
41,10:00-10:15,7.732,15.0,0.0,0.0
42,10:15-10:30,8.114,15.0,0.0,0.0
43,10:30-10:45,8.565,15.0,0.0,0.0
44,10:45-11:00,8.996,15.0,0.0,0.0
45,11:00-11:15,9.398,15.0,0.0,0.0
46,11:15-11:30,9.751,15.0,0.0,0.0
47,11:30-11:45,10.074,15.0,0.0,0.0
48,11:45-12:00,10.378,15.0,0.0,0.0
49,12:00-12:15,10.574,15.0,0.0,0.0
50,12:15-12:30,10.682,15.0,0.0,0.0
51,12:30-12:45,10.594,15.0,0.0,0.0
52,12:45-13:00,10.496,15.0,0.0,0.0
53,13:00-13:15,10.319,15.0,0.0,0.0
54,13:15-13:30,10.065,15.0,0.0,0.0
55,13:30-13:45,9.859,15.0,0.0,0.0
56,13:45-14:00,9.594,15.0,0.0,0.0
57,14:00-14:15,9.281,15.0,0.0,0.0
58,14:15-14:30,8.938,15.0,0.0,0.0
59,14:30-14:45,8.497,15.0,0.0,0.0
60,14:45-15:00,8.036,15.0,0.0,0.0
61,15:00-15:15,7.546,15.0,0.0,0.0
62,15:15-15:30,6.997,15.0,0.0,0.0
63,15:30-15:45,6.399,15.0,0.0,0.0
64,15:45-16:00,5.792,15.0,0.0,0.0
65,16:00-16:15,5.116,15.0,0.0,0.0
66,16:15-16:30,4.4,15.0,0.0,0.0
67,16:30-16:45,3.665,15.0,0.0,0.0
68,16:45-17:00,2.94,15.0,0.0,0.0
69,17:00-17:15,2.254,15.0,0.0,0.0
70,17:15-17:30,1.607,15.0,0.0,0.0
71,17:30-17:45,0.816,15.0,0.0,0.0
72,17:45-18:00,0.367,15.0,0.0,0.0
73,18:00-18:15,0.05,15.0,0.0,0.0
74,18:15-18:30,0.0,15.0,0.0,0.0
75,18:30-18:45,0.0,15.0,0.0,0.0
76,18:45-19:00,0.0,15.0,0.0,0.0
77,19:00-19:15,0.0,15.0,0.0,0.0
78,19:15-19:30,0.0,15.0,0.0,0.0
79,19:30-19:45,0.0,15.0,0.0,0.0
80,19:45-20:00,0.0,15.0,0.0,0.0
81,20:00-20:15,0.0,15.0,0.0,0.0
82,20:15-20:30,0.0,15.0,0.0,0.0
83,20:30-20:45,0.0,15.0,0.0,0.0
84,20:45-21:00,0.0,15.0,0.0,0.0
85,21:00-21:15,0.0,15.0,0.0,0.0
86,21:15-21:30,0.0,15.0,0.0,0.0
87,21:30-21:45,0.0,15.0,0.0,0.0
88,21:45-22:00,0.0,15.0,0.0,0.0
89,22:00-22:15,0.0,15.0,0.0,0.0
90,22:15-22:30,0.0,15.0,0.0,0.0
91,22:30-22:45,0.0,15.0,0.0,0.0
92,22:45-23:00,0.0,15.0,0.0,0.0
93,23:00-23:15,0.0,15.0,0.0,0.0
94,23:15-23:30,0.0,15.0,0.0,0.0
95,23:30-23:45,0.0,15.0,0.0,0.0
96,23:45-24:00,0.0,15.0,0.0,0.0
